file_type,original_file_size,compression_method,compressed_file_size,compression_ratio
2,309414,1,309533,-0.0003845980
2,309414,2,615112,-0.9879902008
2,309414,3,309568,-0.0004977150
2,309414,0,309414,0.0000000000
2,281172,1,281286,-0.0004054458
2,281172,2,558440,-0.9861152604
2,281172,3,281316,-0.0005121420
2,281172,0,281172,0.0000000000
2,241622,1,241716,-0.0003890374
2,241622,2,480200,-0.9874018094
2,241622,3,241764,-0.0005876948
2,241622,0,241622,0.0000000000
2,382395,1,382469,-0.0001935172
2,382395,2,757392,-0.9806535127
2,382395,3,382312,0.0002170530
2,382395,0,382395,0.0000000000
2,236324,1,236423,-0.0004189164
2,236324,2,469466,-0.9865354344
2,236324,3,236468,-0.0006093329
2,236324,0,236324,0.0000000000
2,256861,1,256945,-0.0003270251
2,256861,2,510456,-0.9872849518
2,256861,3,257008,-0.0005722940
2,256861,0,256861,0.0000000000
2,260857,1,260839,0.0000690033
2,260857,2,517304,-0.9830941857
2,260857,3,261004,-0.0005635271
2,260857,0,260857,0.0000000000
2,233592,1,233691,-0.0004238159
2,233592,2,464502,-0.9885184424
2,233592,3,233736,-0.0006164595
2,233592,0,233592,0.0000000000
2,250212,1,250316,-0.0004156475
2,250212,2,497568,-0.9885856793
2,250212,3,250356,-0.0005755120
2,250212,0,250212,0.0000000000
2,244846,1,244946,-0.0004084200
2,244846,2,486690,-0.9877392320
2,244846,3,244992,-0.0005962932
2,244846,0,244846,0.0000000000
2,207836,1,207916,-0.0003849189
2,207836,2,412654,-0.9854789353
2,207836,3,207980,-0.0006928540
2,207836,0,207836,0.0000000000
2,307674,1,307428,0.0007995476
2,307674,2,610382,-0.9838595396
2,307674,3,307160,0.0016705994
2,307674,0,307674,0.0000000000
2,215968,1,216060,-0.0004259890
2,215968,2,428746,-0.9852292932
2,215968,3,216112,-0.0006667654
2,215968,0,215968,0.0000000000
2,272537,1,272571,-0.0001247537
2,272537,2,541272,-0.9860496006
2,272537,3,272684,-0.0005393763
2,272537,0,272537,0.0000000000
2,239809,1,239564,0.0010216464
2,239809,2,475630,-0.9833700987
2,239809,3,239952,-0.0005963079
2,239809,0,239809,0.0000000000
2,225539,1,225634,-0.0004212132
2,225539,2,448478,-0.9884720603
2,225539,3,225680,-0.0006251690
2,225539,0,225539,0.0000000000
2,274483,1,274593,-0.0004007534
2,274483,2,545638,-0.9878753875
2,274483,3,274628,-0.0005282659
2,274483,0,274483,0.0000000000
2,233742,1,233842,-0.0004278221
2,233742,2,464608,-0.9876958356
2,233742,3,233884,-0.0006075074
2,233742,0,233742,0.0000000000
2,271138,1,271248,-0.0004056975
2,271138,2,538096,-0.9845834962
2,271138,3,271284,-0.0005384712
2,271138,0,271138,0.0000000000
2,200891,1,200973,-0.0004081816
2,200891,2,399310,-0.9876948196
2,200891,3,201032,-0.0007018732
2,200891,0,200891,0.0000000000
2,367123,1,367148,-0.0000680971
2,367123,2,728884,-0.9853945408
2,367123,3,367200,-0.0002097390
2,367123,0,367123,0.0000000000
2,330909,1,330989,-0.0002417583
2,330909,2,657362,-0.9865340622
2,330909,3,331060,-0.0004563188
2,330909,0,330909,0.0000000000
2,209722,1,209812,-0.0004291395
2,209722,2,416732,-0.9870685956
2,209722,3,209864,-0.0006770868
2,209722,0,209722,0.0000000000
2,250499,1,250604,-0.0004191633
2,250499,2,497744,-0.9870099282
2,250499,3,250644,-0.0005788446
2,250499,0,250499,0.0000000000
2,260646,1,260751,-0.0004028452
2,260646,2,518578,-0.9895874097
2,260646,3,260792,-0.0005601467
2,260646,0,260646,0.0000000000
2,252107,1,252212,-0.0004164898
2,252107,2,500914,-0.9869103198
2,252107,3,252252,-0.0005751526
2,252107,0,252107,0.0000000000
2,213995,1,214090,-0.0004439356
2,213995,2,425664,-0.9891305872
2,213995,3,214136,-0.0006588939
2,213995,0,213995,0.0000000000
2,205254,1,205344,-0.0004384811
2,205254,2,408406,-0.9897590303
2,205254,3,205396,-0.0006918257
2,205254,0,205254,0.0000000000
2,305662,1,305763,-0.0003304303
2,305662,2,606930,-0.9856246442
2,305662,3,305816,-0.0005038245
2,305662,0,305662,0.0000000000
2,281749,1,281864,-0.0004081647
2,281749,2,559840,-0.9870168128
2,281749,3,281896,-0.0005217410
2,281749,0,281749,0.0000000000
2,219914,1,220006,-0.0004183454
2,219914,2,437326,-0.9886228253
2,219914,3,220056,-0.0006457070
2,219914,0,219914,0.0000000000
2,241104,1,241204,-0.0004147588
2,241104,2,479230,-0.9876484836
2,241104,3,241248,-0.0005972526
2,241104,0,241104,0.0000000000
2,257523,1,257628,-0.0004077306
2,257523,2,512080,-0.9884825821
2,257523,3,257668,-0.0005630565
2,257523,0,257523,0.0000000000
2,231962,1,232049,-0.0003750614
2,231962,2,461396,-0.9891016632
2,231962,3,232104,-0.0006121692
2,231962,0,231962,0.0000000000
2,231153,1,231248,-0.0004109832
2,231153,2,458972,-0.9855766527
2,231153,3,231296,-0.0006186379
2,231153,0,231153,0.0000000000
2,202373,1,202463,-0.0004447234
2,202373,2,402366,-0.9882395379
2,202373,3,202516,-0.0007066160
2,202373,0,202373,0.0000000000
2,364318,1,364178,0.0003842797
2,364318,2,721670,-0.9808793417
2,364318,3,363796,0.0014328142
2,364318,0,364318,0.0000000000
2,234931,1,235028,-0.0004128872
2,234931,2,466962,-0.9876559500
2,234931,3,235072,-0.0006001762
2,234931,0,234931,0.0000000000
2,196218,1,196303,-0.0004331917
2,196218,2,390458,-0.9899193754
2,196218,3,196360,-0.0007236849
2,196218,0,196218,0.0000000000
2,202007,1,202097,-0.0004455291
2,202007,2,402112,-0.9905844847
2,202007,3,202148,-0.0006979956
2,202007,0,202007,0.0000000000
2,263403,1,263513,-0.0004176110
2,263403,2,523406,-0.9870920225
2,263403,3,263548,-0.0005504873
2,263403,0,263403,0.0000000000
2,284998,1,285113,-0.0004035116
2,284998,2,565538,-0.9843577850
2,284998,3,285144,-0.0005122843
2,284998,0,284998,0.0000000000
2,312370,1,312387,-0.0000544226
2,312370,2,619424,-0.9829817204
2,312370,3,312468,-0.0003137305
2,312370,0,312370,0.0000000000
2,243023,1,243123,-0.0004114837
2,243023,2,483244,-0.9884702271
2,243023,3,243164,-0.0005801920
2,243023,0,243023,0.0000000000
2,261871,1,261976,-0.0004009608
2,261871,2,520882,-0.9890785921
2,261871,3,262016,-0.0005537077
2,261871,0,261871,0.0000000000
2,293374,1,293457,-0.0002829153
2,293374,2,582426,-0.9852679515
2,293374,3,293520,-0.0004976583
2,293374,0,293374,0.0000000000
2,282189,1,282304,-0.0004075283
2,282189,2,560880,-0.9876040526
2,282189,3,282336,-0.0005209275
2,282189,0,282189,0.0000000000
2,257184,1,257289,-0.0004082680
2,257184,2,511058,-0.9871298370
2,257184,3,257328,-0.0005599104
2,257184,0,257184,0.0000000000
2,231369,1,231469,-0.0004322100
2,231369,2,460124,-0.9887020301
2,231369,3,231512,-0.0006180603
2,231369,0,231369,0.0000000000
2,274448,1,274558,-0.0004008045
2,274448,2,545174,-0.9864382324
2,274448,3,274592,-0.0005246896
2,274448,0,274448,0.0000000000
2,320923,1,321020,-0.0003022532
2,320923,2,636804,-0.9842890662
2,320923,3,321076,-0.0004767499
2,320923,0,320923,0.0000000000
2,235216,1,235302,-0.0003656214
2,235216,2,467666,-0.9882405959
2,235216,3,235360,-0.0006122033
2,235216,0,235216,0.0000000000
2,255875,1,255980,-0.0004103566
2,255875,2,508092,-0.9857039570
2,255875,3,256020,-0.0005666830
2,255875,0,255875,0.0000000000
2,222142,1,222237,-0.0004276544
2,222142,2,441644,-0.9881157098
2,222142,3,222284,-0.0006392308
2,222142,0,222142,0.0000000000
2,288258,1,288367,-0.0003781335
2,288258,2,572402,-0.9857280631
2,288258,3,288404,-0.0005064907
2,288258,0,288258,0.0000000000
2,319008,1,319133,-0.0003918397
2,319008,2,633886,-0.9870536162
2,319008,3,319160,-0.0004764771
